"Pinatubo","1991","1991","Volcanic","","","","","VEI 6<br>Confirmed Eruption<br>Historical Observations<br>Lower north flank and summit","Southeast Asia"
"Novarupta","1912","1912","Volcanic","","","","","VEI 6<br>Confirmed Eruption<br>Historical Observations<br>","North America"
"Santa Maria","1902","1902","Volcanic","","","","","VEI 6?<br>Confirmed Eruption<br>Historical Observations<br>SW flank","Central America"
"Krakatau","1883","1883","Volcanic","","","","","VEI 6<br>Confirmed Eruption<br>Historical Observations<br>Krakatau Island (Perbuwatan, Danan)","Southeast Asia"
"Tambora","1812","1815","Volcanic","","","","","VEI 7<br>Confirmed Eruption<br>Historical Observations<br>","Southeast Asia"
"Unknown Source","1808","","Volcanic","","","","","VEI 6?<br>Confirmed Eruption<br>Historical Observations<br>Tropical latitude (SP, 365 ppb sulfate)","Unknown"
"Long Island","1660","","Volcanic","20","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","Australasia"
"Huaynaputina","1600","1600","Volcanic","","","","","VEI 6<br>Confirmed Eruption<br>Historical Observations<br>Summit and south flank","South America"
"Billy Mitchell","1580","","Volcanic","20","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","Australasia"
"Bardarbunga","1477","","Volcanic","","","","","VEI 6<br>Confirmed Eruption<br>Historical Observations<br>Veidivötn (Veidivatnahraun)","Iceland and Arctic Ocean"
"Quilotoa","1280","","Volcanic","","?","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","South America"
"Rinjani","1257","","Volcanic","","","","","VEI 7?<br>Confirmed Eruption<br>Ice Core<br>Samalas","Southeast Asia"
"Changbaishan","942","","Volcanic","4","","","","VEI 7?<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","East Asia"
"Ceboruco","930","","Volcanic","200","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","Central America"
"Churchill","847","","Volcanic","1","","","","VEI 6<br>Confirmed Eruption<br>Tephrochronology<br>","North America"
"Witori","710","","Volcanic","75","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","Australasia"
"Rabaul","683","","Volcanic","2","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","Australasia"
"Dakataua","653","","Volcanic","18","","","","VEI 6?<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","Australasia"
"Ilopango","450","","Volcanic","30","","","","VEI 6+<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>Ilopango","Central America"
"Ksudach","240","","Volcanic","100","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>Ksudach V caldera","East Asia"
"Taupo","233","","Volcanic","13","","","","VEI 6?<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>Horomatangi Reefs area","Australasia"
"Churchill","60","","Volcanic","200","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","North America"
"Ambrym","50","","Volcanic","100","","","","VEI 6+<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","Australasia"
"Apoyeque","-50","","Volcanic","100","","","","VEI 6<br>Confirmed Eruption<br>Tephrochronology<br>Apoyeque","Central America"
"Okmok","-100","","Volcanic","50","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>Okmok II caldera","North America"
"Raoul Island","-250","","Volcanic","75","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>Denham caldera","Australasia"
"Pinatubo","-1050","","Volcanic","500","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","Southeast Asia"
"Witori","-1370","","Volcanic","160","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","Australasia"
"Taupo","-1460","","Volcanic","40","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>Horomatangi Reefs?","Australasia"
"Santorini","-1610","","Volcanic","14","","","","VEI 7?<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","Europe"
"Aniakchak","-1645","","Volcanic","10","","","","VEI 6?<br>Confirmed Eruption<br>Ice Core<br>","North America"
"Veniaminof","-1750","","Volcanic","","?","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","North America"
"St. Helens","-1860","","Volcanic","","?","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","North America"
"Hudson, Cerro","-1890","","Volcanic","","?","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","South America"
"Black Peak","-1900","","Volcanic","150","","","","VEI 6<br>Confirmed Eruption<br>Tephrochronology<br>","North America"
"Long Island","-2040","","Volcanic","100","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","Australasia"
"Blanco, Cerro","-2300","","Volcanic","160","","","","VEI 7<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","South America"
"Pinatubo","-3550","","Volcanic","","?","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","Southeast Asia"
"Taal","-3580","","Volcanic","200","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","Southeast Asia"
"Witori","-4000","","Volcanic","210","","","","VEI 6?<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","Australasia"
"Masaya","-4050","","Volcanic","","?","","","VEI 6<br>Confirmed Eruption<br>Tephrochronology<br>NW of caldera","Central America"
"Kikai","-4350","","Volcanic","","?","","","VEI 7<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>Kikai caldera","East Asia"
"Macauley","-4360","","Volcanic","200","","","","VEI 6?<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","Australasia"
"Hudson, Cerro","-4750","","Volcanic","","?","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","South America"
"Aniakchak","-5250","","Volcanic","2700","","","","VEI 6?<br>Confirmed Eruption<br>Tephrochronology<br>","North America"
"Tao-Rusyr Caldera","-5550","","Volcanic","75","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>Tao-Rusyr","East Asia"
"Mashu","-5550","","Volcanic","100","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","East Asia"
"Crater Lake","-5680","","Volcanic","150","","","","VEI 7<br>Confirmed Eruption<br>Ice Core<br>Mt. Mazama summit and flank vents","North America"
"Khangar","-5700","","Volcanic","16","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","East Asia"
"Crater Lake","-5900","","Volcanic","50","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>North flank (Llao Rock)","North America"
"Menengai","-6050","","Volcanic","","?","","","VEI 6+<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","Africa"
"Kurile Lake","-6440","","Volcanic","25","","","","VEI 7<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","East Asia"
"Karymsky","-6600","","Volcanic","","?","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>Karymsky caldera","East Asia"
"Fisher","-7420","","Volcanic","200","","","","VEI 6?<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>NE and SW parts of Fisher caldera","North America"
"Pinatubo","-7460","","Volcanic","150","","","","VEI 6?<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>Tayawan caldera","Southeast Asia"
"Moekeshiwan [Lvinaya Past]","-7480","","Volcanic","50","","","","VEI 6+<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>","East Asia"
"Aira","-8050","","Volcanic","1000","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (uncorrected)<br>Wakamiko Caldera","East Asia"
"Grimsvotn","-8230","","Volcanic","50","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","Iceland and Arctic Ocean"
"Minchinmavida","-8400","","Volcanic","150","","","","VEI 6<br>Confirmed Eruption<br>Radiocarbon (corrected)<br>","South America"
